USER    ,    PID,   PPID,    ELAPSED,%CPU,COMMAND                    ,COMMAND
root    ,      1,      0, 1-18:45:52, 0.0,/sbin/init splash noautomou,systemd
root    ,      2,      0, 1-18:45:52, 0.0,[kthreadd]                 ,kthreadd
root    ,      3,      2, 1-18:45:52, 0.0,[rcu_gp]                   ,rcu_gp
root    ,      4,      2, 1-18:45:52, 0.0,[rcu_par_gp]               ,rcu_par_gp
root    ,      6,      2, 1-18:45:52, 0.0,[kworker/0:0H-kblockd]     ,kworker/0:0H-kblockd
root    ,      9,      2, 1-18:45:52, 0.0,[mm_percpu_wq]             ,mm_percpu_wq
root    ,     10,      2, 1-18:45:52, 0.0,[ksoftirqd/0]              ,ksoftirqd/0
root    ,     11,      2, 1-18:45:52, 0.0,[rcu_sched]                ,rcu_sched
root    ,     12,      2, 1-18:45:52, 0.0,[migration/0]              ,migration/0
root    ,     13,      2, 1-18:45:52, 0.0,[cpuhp/0]                  ,cpuhp/0
root    ,     14,      2, 1-18:45:52, 0.0,[cpuhp/1]                  ,cpuhp/1
root    ,     15,      2, 1-18:45:52, 0.0,[migration/1]              ,migration/1
root    ,     16,      2, 1-18:45:52, 0.0,[ksoftirqd/1]              ,ksoftirqd/1
root    ,     18,      2, 1-18:45:52, 0.0,[kworker/1:0H-events_highpr,kworker/1:0H-events_highpri
root    ,     19,      2, 1-18:45:52, 0.0,[kdevtmpfs]                ,kdevtmpfs
root    ,     20,      2, 1-18:45:52, 0.0,[netns]                    ,netns
root    ,     21,      2, 1-18:45:52, 0.0,[kauditd]                  ,kauditd
root    ,     22,      2, 1-18:45:52, 0.0,[khungtaskd]               ,khungtaskd
root    ,     23,      2, 1-18:45:52, 0.0,[oom_reaper]               ,oom_reaper
root    ,     24,      2, 1-18:45:52, 0.0,[writeback]                ,writeback
root    ,     25,      2, 1-18:45:52, 0.0,[kcompactd0]               ,kcompactd0
root    ,     26,      2, 1-18:45:52, 0.0,[ksmd]                     ,ksmd
root    ,     27,      2, 1-18:45:52, 0.0,[khugepaged]               ,khugepaged
root    ,     72,      2, 1-18:45:52, 0.0,[kintegrityd]              ,kintegrityd
root    ,     73,      2, 1-18:45:52, 0.0,[kblockd]                  ,kblockd
root    ,     74,      2, 1-18:45:52, 0.0,[blkcg_punt_bio]           ,blkcg_punt_bio
root    ,     75,      2, 1-18:45:52, 0.0,[edac-poller]              ,edac-poller
root    ,     76,      2, 1-18:45:52, 0.0,[devfreq_wq]               ,devfreq_wq
root    ,     77,      2, 1-18:45:50, 0.0,[kswapd0]                  ,kswapd0
root    ,     78,      2, 1-18:45:50, 0.0,[kthrotld]                 ,kthrotld
root    ,     79,      2, 1-18:45:50, 0.0,[acpi_thermal_pm]          ,acpi_thermal_pm
root    ,     81,      2, 1-18:45:50, 0.0,[ipv6_addrconf]            ,ipv6_addrconf
root    ,     92,      2, 1-18:45:50, 0.0,[kstrp]                    ,kstrp
root    ,     96,      2, 1-18:45:50, 0.0,[kworker/u17:0-hci0]       ,kworker/u17:0-hci0
root    ,    145,      2, 1-18:45:50, 0.0,[ata_sff]                  ,ata_sff
root    ,    146,      2, 1-18:45:50, 0.0,[cryptd]                   ,cryptd
root    ,    149,      2, 1-18:45:50, 0.0,[scsi_eh_0]                ,scsi_eh_0
root    ,    151,      2, 1-18:45:50, 0.0,[scsi_tmf_0]               ,scsi_tmf_0
root    ,    153,      2, 1-18:45:50, 0.0,[scsi_eh_1]                ,scsi_eh_1
root    ,    155,      2, 1-18:45:50, 0.0,[scsi_tmf_1]               ,scsi_tmf_1
root    ,    171,      2, 1-18:45:50, 0.0,[kworker/0:1H]             ,kworker/0:1H
root    ,    178,      2, 1-18:45:49, 0.0,[kworker/1:1H-kblockd]     ,kworker/1:1H-kblockd
root    ,    190,      2, 1-18:45:47, 0.0,[xfsalloc]                 ,xfsalloc
root    ,    191,      2, 1-18:45:47, 0.0,[xfs_mru_cache]            ,xfs_mru_cache
root    ,    194,      2, 1-18:45:47, 0.0,[md]                       ,md
root    ,    203,      2, 1-18:45:47, 0.0,[raid5wq]                  ,raid5wq
root    ,    241,      2, 1-18:45:26, 0.0,[jbd2/sda4-8]              ,jbd2/sda4-8
root    ,    242,      2, 1-18:45:26, 0.0,[ext4-rsv-conver]          ,ext4-rsv-conver
root    ,    305,      1, 1-18:45:19, 0.0,/lib/systemd/systemd-journa,systemd-journal
root    ,    325,      1, 1-18:45:18, 0.0,/lib/systemd/systemd-udevd ,systemd-udevd
root    ,    368,      2, 1-18:45:16, 0.0,[watchdogd]                ,watchdogd
root    ,    409,      2, 1-18:45:15, 0.0,[kmemstick]                ,kmemstick
root    ,    415,      2, 1-18:45:15, 0.0,[cfg80211]                 ,cfg80211
root    ,    608,      1, 1-18:45:07, 0.0,/usr/sbin/haveged --Foregro,haveged
root    ,    611,      1, 1-18:45:07, 0.0,/usr/sbin/ModemManager --fi,ModemManager
root    ,    613,      1, 1-18:45:07, 0.0,/usr/lib/accountsservice/ac,accounts-daemon
root    ,    617,      1, 1-18:45:07, 0.0,/usr/lib/bluetooth/bluetoot,bluetoothd
root    ,    618,      1, 1-18:45:07, 0.0,/usr/sbin/cron -f          ,cron
message+,    619,      1, 1-18:45:07, 0.0,/usr/bin/dbus-daemon --syst,dbus-daemon
root    ,    620,      1, 1-18:45:06, 0.0,/usr/sbin/NetworkManager --,NetworkManager
root    ,    623,      1, 1-18:45:06, 0.0,/usr/sbin/rngd -f          ,rngd
root    ,    624,      1, 1-18:45:06, 0.0,/usr/sbin/rsyslogd -n -iNON,rsyslogd
root    ,    625,      1, 1-18:45:06, 0.0,/usr/sbin/smartd -n        ,smartd
root    ,    638,      1, 1-18:45:06, 0.0,/usr/lib/udisks2/udisksd   ,udisksd
root    ,    639,      1, 1-18:45:06, 0.0,/sbin/wpa_supplicant -u -s ,wpa_supplicant
root    ,    718,      1, 1-18:45:01, 0.0,/lib/systemd/systemd-logind,systemd-logind
root    ,    725,      1, 1-18:45:00, 0.0,/usr/lib/policykit-1/polkit,polkitd
root    ,    764,      1, 1-18:44:59, 0.0,/usr/sbin/hostapd-wpe /etc/,hostapd-wpe
root    ,    779,      1, 1-18:44:59, 0.0,/usr/sbin/lightdm          ,lightdm
root    ,    787,      1, 1-18:44:58, 0.0,/opt/xplico/bin/dema -d /op,dema
root    ,    802,      1, 1-18:44:57, 0.0,/sbin/agetty -o -p -- \u --,agetty
root    ,    804,    779, 1-18:44:56, 0.8,/usr/lib/xorg/Xorg :0 -seat,Xorg
root    ,    882,      1, 1-18:44:48, 0.0,/usr/lib/ipsec/starter --da,starter
root    ,    896,      2, 1-18:44:47, 0.0,[iprt-VBoxWQueue]          ,iprt-VBoxWQueue
root    ,    897,      2, 1-18:44:46, 0.0,[iprt-VBoxTscThr]          ,iprt-VBoxTscThr
postgres,    901,      1, 1-18:44:46, 0.0,/usr/lib/postgresql/12/bin/,postgres
postgres,    902,      1, 1-18:44:46, 0.0,/usr/lib/postgresql/11/bin/,postgres
root    ,    906,    882, 1-18:44:45, 0.0,/usr/lib/ipsec/charon      ,charon
